Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       707,        0.2267699838,       650,        0.1296020150,        76,       -0.2156128287,       236,       -0.1955932975,       585,        0.4499756098,       646,        0.1906982809,        34,     -158.9179687500,       118,      -86.4844970703,       169,       88.7779541016,       643,       64.8521728516,       590,     -158.9179687500,       118,      -86.4844970703,       169,        0.1738388091,        0.0636631846
      1361,        0.3830199838,        26,        0.1134887338,       159,       -0.2966675162,       508,       -0.2869018912,       117,        0.5158935785,       159,        0.2541748285,       235,     -235.0288085938,        97,     -159.1621093750,        46,       74.3889160156,       502,       67.6597900391,       212,     -235.0288085938,        97,     -159.1621093750,        46,        0.2562605143,        0.0514468215
      1877,        0.3385863900,        56,        0.1486449838,       188,       -0.3484253287,       238,       -0.3406128287,       150,        0.6418701410,       184,        0.4983154535,        25,     -266.2177734375,       128,     -140.5616455078,        77,       96.5599365234,        25,       73.9921875000,       530,     -266.2177734375,       128,     -140.5616455078,        77,        0.2746778429,        0.0582243986
      2408,        0.4259887338,        64,        0.1891723275,       300,       -0.5442261100,        22,       -0.3752807975,       534,        0.5261474848,       215,        0.4636474848,        45,     -250.5012207031,       155,     -169.9805908203,       104,      110.0487060547,        44,      105.5015869141,       552,     -250.5012207031,       155,     -169.9805908203,       104,        0.3041154742,        0.0496428795
      2961,        0.4004551172,        46,        0.2910801172,       543,       -0.4652675390,       508,       -0.3446620703,       228,        0.5592980385,       174,        0.4675537348,         7,     -260.9995727539,       120,     -184.0037384033,        69,      105.5626220703,         0,       86.1531219482,       524,     -260.9995727539,       120,     -184.0037384033,        69,        0.2955175340,        0.0839041844
      3508,        0.4854160547,        11,        0.1802402735,        62,       -0.5761073828,       502,       -0.3383144140,       114,        0.5734581947,       152,        0.2702355385,       529,     -278.0131225586,        98,     -178.3732452393,        47,      105.5317840576,       525,       59.7096443176,       184,     -278.0131225586,        98,     -178.3732452393,        47,        0.3535993993,        0.0809635296
      4040,        0.4727207422,        51,        0.1900058985,       248,       -0.5209316015,       487,       -0.3519862890,       226,        0.5217003822,       160,        0.4269738197,       226,     -274.6867065430,        97,     -204.3589630127,       148,      105.8217010498,         1,       87.7095184326,       496,     -274.6867065430,        97,     -204.3589630127,       148,        0.3447917700,        0.0795322657
      4537,        0.4668613672,        31,        0.2915683985,        82,       -0.5805019140,       492,       -0.3851894140,       153,        0.7458214760,       175,        0.4084191322,        24,     -292.3716430664,       120,     -154.3711700439,       171,      102.9835662842,         9,       88.6250457764,       479,     -292.3716430664,       120,     -154.3711700439,       171,        0.3695627749,        0.0910046771
      5037,        0.4741855860,        45,        0.2027012110,       245,       -0.4364589453,       501,       -0.3754237890,       140,        0.6642785072,       173,        0.4865441322,        22,     -284.2997436523,       122,     -189.9546661377,        71,       96.8037567139,       517,       95.0489959717,         6,     -284.2997436523,       122,     -189.9546661377,        71,        0.3406455815,        0.0887354538
      5556,        0.4707676172,        42,        0.1875644922,       250,       -0.5074185729,       498,       -0.3471034765,       140,        0.6183800697,       178,        0.4640831947,        12,     -275.3580932617,       106,     -191.1601104736,       157,      102.1443328857,         6,       95.3947448730,       516,     -275.3580932617,       106,     -191.1601104736,       157,        0.3484873176,        0.0904654190
      6084,        0.4999056458,        35,        0.1361361146,       168,       -0.4668912292,       477,       -0.3614224792,       213,        0.6899309158,       159,        0.3705949783,       217,     -293.3534240723,        98,     -185.1380920410,       149,       88.4062194824,       489,       79.9681091309,         0,     -293.3534240723,        98,     -185.1380920410,       149,        0.3545355201,        0.0811033919
      6575,        0.4779329896,        43,        0.2259798646,       252,       -0.6915006042,       491,       -0.4634732604,       230,        0.6533098221,       184,        0.4682512283,        12,     -281.9703674316,       126,     -206.0578918457,        75,       98.4617614746,         4,       97.9124450684,       503,     -281.9703674316,       126,     -206.0578918457,        75,        0.3658306003,        0.0921793282
